Rapport SHACL-meting dd;2026-08-16T12:55:55
Gevalideerd RDF-bestand;dewolden_orox.ttl
Gebruikte SHACL-processor;TopBraid 1.4.4
SHACL-meting op basis GWSW;ja
SHACL-meting op basis CFK;MdsPlan
Lokale kwaliteitseisen uit bestand;geen
Gevalideerd op onderdelen;Datatype kenmerk, Waardebereik kenmerk, Collectiewaarde kenmerk, Kardinaliteit, Datatype object, GWSW-relaties, GWSW-types, CFK-types, Verbindingen netwerk
Niet gevalideerd op;Geen, alle metingen gedaan
Maximaal aantal meldingen;onbeperkt

Draaitijd;(200.1 sec bezig)
Rapport 'conforms';false

Focus node;Source;Value;Severity;Message;Path;Detail-message;Detail-value;
lei3541-3502-1_lei3375_beg3375;BeginpuntLeiding_Knooppunt_card;te weinig voorkomens;Violation;Subject BeginpuntLeiding, path hasConnection, object Knooppunt - aantal voorkomens wijkt af (exact=1);b134998;;Focus-node: type=BeginpuntLeiding, hasAspect=lei3541-3502-1_lei3375_beg3375_bob, hasConnection=knp3541_put
lei3492-3491-1_lei3355_beg3355;BeginpuntLeiding_Knooppunt_card;te weinig voorkomens;Violation;Subject BeginpuntLeiding, path hasConnection, object Knooppunt - aantal voorkomens wijkt af (exact=1);b135018;;Focus-node: type=BeginpuntLeiding, hasAspect=lei3492-3491-1_lei3355_beg3355_bob, hasConnection=knp3492_put
lei3522-3526-1_lei3410_beg3410;BeginpuntLeiding_Knooppunt_card;te weinig voorkomens;Violation;Subject BeginpuntLeiding, path hasConnection, object Knooppunt - aantal voorkomens wijkt af (exact=1);b135053;;Focus-node: type=BeginpuntLeiding, hasAspect=lei3522-3526-1_lei3410_beg3410_bob, hasConnection=knp3522_put
lei3504-3541-1_lei3380_beg3380;BeginpuntLeiding_Knooppunt_card;te weinig voorkomens;Violation;Subject BeginpuntLeiding, path hasConnection, object Knooppunt - aantal voorkomens wijkt af (exact=1);b135133;;Focus-node: type=BeginpuntLeiding, hasAspect=lei3504-3541-1_lei3380_beg3380_bob, hasConnection=knp3504_put
lei3548-3492-1_lei3358_beg3358;BeginpuntLeiding_Knooppunt_card;te weinig voorkomens;Violation;Subject BeginpuntLeiding, path hasConnection, object Knooppunt - aantal voorkomens wijkt af (exact=1);b135403;;Focus-node: type=BeginpuntLeiding, hasAspect=lei3548-3492-1_lei3358_beg3358_bob, hasConnection=knp3548_put
lei3562-3563-1_lei3465_beg3465;BeginpuntLeiding_Knooppunt_card;te weinig voorkomens;Violation;Subject BeginpuntLeiding, path hasConnection, object Knooppunt - aantal voorkomens wijkt af (exact=1);b135428;;Focus-node: type=BeginpuntLeiding, hasAspect=lei3562-3563-1_lei3465_beg3465_bob, hasConnection=knp3562_put
lei3508-3506-1_lei3386_beg3386;BeginpuntLeiding_Knooppunt_card;te weinig voorkomens;Violation;Subject BeginpuntLeiding, path hasConnection, object Knooppunt - aantal voorkomens wijkt af (exact=1);b135738;;Focus-node: type=BeginpuntLeiding, hasAspect=lei3508-3506-1_lei3386_beg3386_bob, hasConnection=knp3508_put
lei3494-3495-1_lei3362_beg3362;BeginpuntLeiding_Knooppunt_card;te weinig voorkomens;Violation;Subject BeginpuntLeiding, path hasConnection, object Knooppunt - aantal voorkomens wijkt af (exact=1);b135783;;Focus-node: type=BeginpuntLeiding, hasAspect=lei3494-3495-1_lei3362_beg3362_bob, hasConnection=knp3494_put
lei3559-3560-1_lei3461_beg3461;BeginpuntLeiding_Knooppunt_card;te weinig voorkomens;Violation;Subject BeginpuntLeiding, path hasConnection, object Knooppunt - aantal voorkomens wijkt af (exact=1);b135808;;Focus-node: type=BeginpuntLeiding, hasAspect=lei3559-3560-1_lei3461_beg3461_bob, hasConnection=knp3559_put
lei3491-3493-1_lei3356_beg3356;BeginpuntLeiding_Knooppunt_card;te weinig voorkomens;Violation;Subject BeginpuntLeiding, path hasConnection, object Knooppunt - aantal voorkomens wijkt af (exact=1);b135873;;Focus-node: type=BeginpuntLeiding, hasAspect=lei3491-3493-1_lei3356_beg3356_bob, hasConnection=knp3491_put
